City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
420,ain taya,36.7933,3.2869,19.91,77,20,3.09,DZ,1698720404
421,kimbe,-5.5502,150.1429,26.33,88,100,1.32,PG,1698720404
422,shubarshi,48.5872,57.1869,2.74,80,98,4.45,KZ,1698720404
423,jijiga,9.35,42.8,16.55,91,20,1.35,ET,1698720405
424,antofagasta,-23.65,-70.4,16.6,69,37,3.59,CL,1698720131
425,qaqortoq,60.7167,-46.0333,5.61,61,99,11.73,GL,1698720405
426,flin flon,54.7682,-101.865,-10.1,87,12,1.46,CA,1698720406
427,guarapari,-20.6667,-40.4975,23.22,95,100,1.85,BR,1698720407
428,gobabis,-22.45,18.9667,15.69,22,0,2.66,NA,1698720407
429,zhukovka,53.534,33.728,8.24,96,100,1.65,RU,1698720408
430,cockburn town,21.4612,-71.1419,28.7,80,97,5.89,TC,1698720408
431,mahalapye,-23.1041,26.8142,11.08,80,100,7.0,BW,1698720408
432,tahe,52.3333,124.7333,-2.45,34,100,0.58,CN,1698720409
433,nizhniy kuranakh,58.8353,125.4869,-10.24,81,73,0.54,RU,1698720409
434,meadow lakes,61.6247,-149.6011,3.47,78,0,1.54,US,1698720410
435,spring creek,40.7266,-115.5859,2.71,30,0,1.13,US,1698720410
436,vadso,70.0744,29.7487,0.09,80,75,5.14,NO,1698720410
437,horta,38.5333,-28.6333,19.45,84,44,7.6,PT,1698720411
438,mastung,29.7994,66.845,16.31,41,5,0.72,PK,1698720411
439,yerofey pavlovich,53.9667,121.9667,-4.94,41,97,1.03,RU,1698720412
440,naliya,23.2667,68.8333,27.55,47,0,3.39,IN,1698720412
441,amqui,48.4638,-67.4313,-1.37,97,100,0.91,CA,1698720412
442,dolinsk,47.35,142.8,10.96,60,25,3.99,RU,1698720413
443,san jose del guaviare,2.5729,-72.6459,23.99,86,43,1.32,CO,1698720413
444,chegdomyn,51.1167,133.0167,-1.8,50,90,0.66,RU,1698720413
445,vila velha,-20.3297,-40.2925,25.97,78,0,5.66,BR,1698720414
446,manakara,-22.1333,48.0167,22.85,90,8,2.23,MG,1698720414
447,roccella ionica,38.322,16.4009,21.29,87,78,6.23,IT,1698720415
448,goiania,-16.6786,-49.2539,28.83,58,20,2.57,BR,1698720230
449,sovetskiy,61.3614,63.5842,-8.39,86,100,3.13,RU,1698720416
450,broken hill,-31.95,141.4333,19.99,30,83,3.9,AU,1698720416
451,lethbridge,49.7,-112.8186,-0.46,80,75,4.12,CA,1698720212
452,monguno,12.6786,13.6079,26.82,39,3,5.08,NG,1698720417
453,vrable,48.2437,18.3085,16.5,58,100,6.44,SK,1698720417
454,nalut,30.3333,10.85,22.01,24,9,4.56,LY,1698720418
455,tazacorte,28.629,-17.9293,22.54,92,0,1.79,ES,1698720418
